faculty|college|department|bio|personal|academic|research|orcid|scopus
Yue (Jeff) Zhang|College of Business and Economics|Department of Accounting||||E-Government ||
Diane Lewis-Goldstein|Health & Human Development|Department of Family and Consumer Studies||||Counseling Self-efficacy ||
Tracie Tung|Health & Human Development|Department of Family and Consumer Studies||||Academic Writing Qualitative Analysis Research Methodology Interviewing Quantitative Analysis Research Analysis Survey Methodology and Data Analysis Survey Analysis ||
Yoko Mimura|Health & Human Development|Department of Family and Consumer Studies||||Statistical Analysis Logistic Regression SAS Survival Analysis Young Adults Longitudinal Analysis ||
Elizabeth Sussman|Health & Human Development|Department of Family and Consumer Studies||||Nutrition Clinical Nutrition Nephrology ||
Setareh Torabian-Riasati|Health & Human Development|Department of Family and Consumer Studies||||Clinical Nutrition Registered Dietitian ||
Rosalia Garcia-Torres|Health & Human Development|Department of Family and Consumer Studies||||Food Science and Technology Food Chemistry Food Processing Food Technology Post Harvest Technology ||
Rebekah Child|Health & Human Development|Department of Nursing||||Advertising Emergency Nursing Social Media Social Networks Suicide Facebook Future Research workplace violence ||
Laurie Gelardi|Health & Human Development|Department of Nursing||||||
Marianne Hattar-Pollara|Health & Human Development|Department of Nursing||||Cultural Studies Qualitative Analysis Culture Participant Observation Multiculturalism Cultural Diversity Gender Studies Ethnicity Feminist Theory Cultural Analysis ||
Samira Moughrabi|Health & Human Development|Department of Nursing||||Nutrition Inflammation Atherosclerosis Lipid Metabolism Body Composition Disease Prevention Abdominal Obesity Obesity Inflammatory Biomarkers Cardiovascular Risk Cytokine Biology ||
Zarmine Naccashian|Health & Human Development|Department of Nursing||||Nutrition Hypertension Health Promotion Metabolism Insulin Resistance Diabetes Metabolic Diseases Health Education and Promotion Lipid Metabolism ||
Kristine Beck|College of Business and Economics|Department of Finance||||Aug 1995 - Jun 2001 University of Denver Reiman School of FinanceDenver, United States Position Professor (Assistant) ||
Inga Chira|College of Business and Economics|Department of Finance||||Finance Investment Valuation Financial Planning Behavioral Finance Economics Banks Financial Crisis ||
Hsin-Hui Chiu|College of Business and Economics|Department of Finance||||Mutual Funds ||
Vicentiu Covrig|College of Business and Economics|Department of Finance||||Finance Financial Analysis Banking and Finance ||
Zhong-Guo Zhou|College of Business and Economics|Department of Finance||||Asset Pricing Financial Econometrics IPOs ||
Bernardo Abrego|Science and Math|Department of Mathematics||||Discrete Mathematics Graph Τheory Combinatorics Computational Geometry Discrete Geometry Convex Geometry ||
Ali Al-Sharadqah|Science and Math|Department of Mathematics||||Data Analysis Statistical Analysis Optimization Numerical Analysis Engineering, Applied and Computational Mathematics Statistical Modeling Applied Statistics Statistics Probability ||
Jorge Balbas|Science and Math|Department of Mathematics||||Hydrodynamics ||
John Dye|Science and Math|Department of Mathematics||||Functional Analysis ||
Werner Horn|Science and Math|Department of Mathematics||||Functional Analysis Real Analysis Complex Analysis Special Functions ||
Majid Mojirsheibani|Science and Math|Department of Mathematics||||Advanced Statistical Analysis Advanced Statistical Modeling Asymptotic Statistics ||
Michael Neubauer|Science and Math|Department of Mathematics||||Combinatorics Graphs Matrix Theory Matrices Designs ||
Vladislav Panferov|Science and Math|Department of Mathematics||||Numerical Simulation Hydrodynamic Modeling Kinetic Theory ||
Jerry Rosen|Science and Math|Department of Mathematics||||Group Theory Algebra Calculations Skewness ||
Yannan Shen|Science and Math|Department of Mathematics||||||
